Fecha;demandaMedia;demandaDia;SS;EOQ;ROP;cantidadOrden;stockEnTransito;LT;stockPreliminar;controlCalidad;almacen;costoPedido;costoAlmacen;costoUnitario;costoTotal
03/03/2020;68;68;112;165;588;0;0.0;0;0;0;588;0.0;0.0;0.0;0.0
03/04/2020;68;69;112;165;588;165;165.0;1;0;0;519;2000.0;11070.0;667.2;13737.2
03/05/2020;68;68;112;165;588;165;165.0;1;0;0;450;2000.0;15570.0;993.6;18563.6
03/06/2020;68;66;112;165;588;165;330.0;2;0;0;382;4000.0;19390.0;1310.4;24700.4
03/07/2020;68;62;112;165;588;165;330.0;2;0;0;316;4000.0;22550.0;1608.0;28158.0
03/08/2020;68;0;112;165;588;165;495.0;3;0;0;254;6000.0;25090.0;1608.0;32698.0
03/09/2020;68;69;112;165;588;165;495.0;3;0;0;253;6000.0;27620.0;1939.2;35559.2
03/10/2020;68;66;112;165;588;165;495.0;3;0;0;184;6000.0;29460.0;2256.0;37716.0
03/11/2020;68;68;112;165;588;165;495.0;3;0;0;283;8000.0;32290.0;2582.4;42872.4
03/12/2020;68;72;112;165;588;165;495.0;3;0;0;215;8000.0;34440.0;2928.0;45368.0
03/13/2020;68;70;112;165;588;165;495.0;3;0;0;143;8000.0;35870.0;3264.0;47134.0
03/14/2020;68;61;112;165;588;165;495.0;3;0;0;238;10000.0;38250.0;3556.8;51806.8
03/15/2020;68;0;112;165;588;165;495.0;3;0;0;177;10000.0;40020.0;3556.8;53576.8
03/16/2020;68;73;112;165;588;165;330.0;2;0;0;341;10000.0;43430.0;3907.2000000000003;57337.2
03/17/2020;68;66;112;165;588;165;165.0;1;0;0;433;10000.0;47760.0;4224.0;61984.0
03/18/2020;68;73;112;165;588;165;330.0;2;0;0;367;12000.0;51430.0;4574.4;68004.4
03/19/2020;68;68;112;165;588;165;330.0;2;0;0;294;12000.0;54370.0;4900.799999999999;71270.8
03/20/2020;68;63;112;165;588;165;495.0;3;0;0;226;14000.0;56630.0;5203.199999999999;75833.2
03/21/2020;68;60;112;165;588;165;495.0;3;0;0;328;16000.0;59910.0;5491.199999999999;81401.2
03/22/2020;68;0;112;165;588;165;495.0;3;0;0;268;16000.0;62590.0;5491.199999999999;84081.2
03/23/2020;68;65;112;165;588;165;495.0;3;0;0;267;16000.0;65260.0;5803.199999999999;87063.2
03/24/2020;68;67;112;165;588;165;330.0;2;0;0;367;16000.0;68930.0;6124.799999999999;91054.8
03/25/2020;68;69;112;165;588;165;330.0;2;0;0;300;16000.0;71930.0;6455.999999999999;94386.0
03/26/2020;68;73;112;165;588;165;495.0;3;0;0;231;18000.0;74240.0;6806.399999999999;99046.4
03/27/2020;68;70;112;165;588;165;495.0;3;0;0;158;18000.0;75820.0;7142.399999999999;100962.4
03/28/2020;68;60;112;165;588;165;330.0;2;0;0;418;20000.0;80000.0;7430.399999999999;107430.4
03/29/2020;68;0;112;165;588;165;330.0;2;0;0;358;20000.0;83580.0;7430.399999999999;111010.4
03/30/2020;68;65;112;165;588;165;330.0;2;0;0;357;20000.0;87150.0;7742.399999999999;114892.4
03/31/2020;68;65;112;165;588;165;330.0;2;0;0;292;20000.0;90070.0;8054.399999999999;118124.4
04/01/2020;58;68;97;152;503;165;495.0;3;0;0;227;22000.0;92340.0;8380.8;122720.8
04/02/2020;58;63;97;152;503;165;495.0;3;0;0;159;22000.0;93930.0;8683.199999999999;124613.2
04/03/2020;58;58;97;152;503;165;330.0;2;0;0;261;22000.0;96540.0;8961.599999999999;127501.6
04/04/2020;58;59;97;152;503;152;317.0;2;0;0;368;24000.0;100220.0;9244.8;133464.8
04/05/2020;58;0;97;152;503;152;317.0;2;0;0;309;24000.0;103310.0;9244.8;136554.8
04/06/2020;58;63;97;152;503;152;317.0;2;0;0;308;24000.0;106390.0;9547.199999999999;139937.2
04/07/2020;58;56;97;152;503;152;317.0;2;0;0;245;24000.0;108840.0;9815.999999999998;142656.0
04/08/2020;58;57;97;152;503;152;317.0;2;0;0;189;24000.0;110730.0;10089.599999999999;144819.6
